2024-07-13 07:46:09,975 INFO ============= Start ============
2024-07-13 07:46:39,739 INFO No evasive samples, sleep...
2024-07-13 07:46:45,246 INFO No evasive samples, sleep...
2024-07-13 07:46:50,751 INFO No evasive samples, sleep...
2024-07-13 07:46:56,259 INFO No evasive samples, sleep...
2024-07-13 07:47:01,766 INFO No evasive samples, sleep...
2024-07-13 07:47:07,276 INFO No evasive samples, sleep...
2024-07-13 07:47:12,783 INFO No evasive samples, sleep...
2024-07-13 07:47:18,289 INFO No evasive samples, sleep...
2024-07-13 07:47:23,796 INFO No evasive samples, sleep...
2024-07-13 07:47:29,304 INFO No evasive samples, sleep...
2024-07-13 07:47:34,812 INFO No evasive samples, sleep...
2024-07-13 07:47:40,317 INFO No evasive samples, sleep...
2024-07-13 07:47:45,821 INFO No evasive samples, sleep...
2024-07-13 07:47:51,324 INFO No evasive samples, sleep...
2024-07-13 07:47:56,832 INFO No evasive samples, sleep...
2024-07-13 07:48:02,340 INFO No evasive samples, sleep...
2024-07-13 07:48:07,849 INFO No evasive samples, sleep...
2024-07-13 07:48:13,356 INFO No evasive samples, sleep...
2024-07-13 07:48:18,863 INFO No evasive samples, sleep...
2024-07-13 07:48:24,368 INFO No evasive samples, sleep...
2024-07-13 07:48:29,873 INFO No evasive samples, sleep...
2024-07-13 07:48:35,380 INFO No evasive samples, sleep...
2024-07-13 07:48:40,883 INFO No evasive samples, sleep...
2024-07-13 07:48:46,387 INFO No evasive samples, sleep...
2024-07-13 07:48:51,891 INFO No evasive samples, sleep...
2024-07-13 07:48:57,393 INFO No evasive samples, sleep...
2024-07-13 07:49:02,900 INFO No evasive samples, sleep...
2024-07-13 07:49:08,404 INFO No evasive samples, sleep...
2024-07-13 07:49:13,911 INFO No evasive samples, sleep...
2024-07-13 07:49:19,419 INFO No evasive samples, sleep...
2024-07-13 07:49:24,924 INFO No evasive samples, sleep...
2024-07-13 07:49:30,428 INFO No evasive samples, sleep...
2024-07-13 07:49:35,931 INFO No evasive samples, sleep...
2024-07-13 07:49:41,435 INFO No evasive samples, sleep...
2024-07-13 07:49:46,940 INFO No evasive samples, sleep...
2024-07-13 07:49:52,443 INFO No evasive samples, sleep...
2024-07-13 07:49:57,947 INFO No evasive samples, sleep...
2024-07-13 07:50:03,453 INFO No evasive samples, sleep...
2024-07-13 07:50:08,960 INFO No evasive samples, sleep...
2024-07-13 07:50:14,467 INFO No evasive samples, sleep...
2024-07-13 07:50:19,972 INFO No evasive samples, sleep...
2024-07-13 07:50:25,476 INFO No evasive samples, sleep...
2024-07-13 07:50:30,980 INFO No evasive samples, sleep...
2024-07-13 07:50:36,484 INFO No evasive samples, sleep...
2024-07-13 07:50:41,991 INFO No evasive samples, sleep...
2024-07-13 07:50:47,497 INFO No evasive samples, sleep...
2024-07-13 07:50:53,003 INFO No evasive samples, sleep...
2024-07-13 07:50:58,511 INFO No evasive samples, sleep...
2024-07-13 07:51:04,015 INFO No evasive samples, sleep...
2024-07-13 07:51:09,520 INFO No evasive samples, sleep...
2024-07-13 07:51:15,024 INFO No evasive samples, sleep...
2024-07-13 07:51:20,529 INFO No evasive samples, sleep...
2024-07-13 07:51:26,036 INFO No evasive samples, sleep...
2024-07-13 07:51:31,540 INFO No evasive samples, sleep...
2024-07-13 07:51:37,047 INFO No evasive samples, sleep...
2024-07-13 07:51:42,553 INFO No evasive samples, sleep...
2024-07-13 07:51:48,056 INFO No evasive samples, sleep...
2024-07-13 07:51:53,560 INFO No evasive samples, sleep...
2024-07-13 07:51:59,067 INFO No evasive samples, sleep...
2024-07-13 07:52:04,573 INFO No evasive samples, sleep...
2024-07-13 07:52:10,081 INFO No evasive samples, sleep...
2024-07-13 07:52:15,587 INFO No evasive samples, sleep...
2024-07-13 07:52:21,093 INFO No evasive samples, sleep...
2024-07-13 07:52:26,600 INFO No evasive samples, sleep...
2024-07-13 07:52:32,104 INFO No evasive samples, sleep...
2024-07-13 07:52:37,609 INFO No evasive samples, sleep...
2024-07-13 07:52:43,115 INFO No evasive samples, sleep...
2024-07-13 07:52:48,619 INFO No evasive samples, sleep...
2024-07-13 07:52:54,124 INFO No evasive samples, sleep...
2024-07-13 07:52:59,628 INFO No evasive samples, sleep...
2024-07-13 07:53:05,131 INFO No evasive samples, sleep...
2024-07-13 07:53:10,636 INFO No evasive samples, sleep...
2024-07-13 07:53:16,140 INFO No evasive samples, sleep...
2024-07-13 07:53:21,646 INFO No evasive samples, sleep...
2024-07-13 07:53:27,153 INFO No evasive samples, sleep...
2024-07-13 07:53:32,660 INFO No evasive samples, sleep...
2024-07-13 07:53:38,167 INFO No evasive samples, sleep...
2024-07-13 07:53:43,671 INFO No evasive samples, sleep...
2024-07-13 07:53:49,176 INFO No evasive samples, sleep...
2024-07-13 07:53:54,679 INFO No evasive samples, sleep...
2024-07-13 07:54:00,186 INFO No evasive samples, sleep...
2024-07-13 07:54:05,692 INFO No evasive samples, sleep...
2024-07-13 07:54:11,197 INFO No evasive samples, sleep...
2024-07-13 07:54:16,704 INFO No evasive samples, sleep...
2024-07-13 07:54:22,208 INFO No evasive samples, sleep...
2024-07-13 07:54:27,715 INFO No evasive samples, sleep...
2024-07-13 07:54:33,220 INFO No evasive samples, sleep...
2024-07-13 07:54:38,729 INFO No evasive samples, sleep...
2024-07-13 07:54:44,233 INFO No evasive samples, sleep...
2024-07-13 07:54:49,740 INFO No evasive samples, sleep...
2024-07-13 07:54:55,244 INFO No evasive samples, sleep...
2024-07-13 07:55:00,747 INFO No evasive samples, sleep...
2024-07-13 07:55:06,253 INFO No evasive samples, sleep...
2024-07-13 07:55:11,756 INFO No evasive samples, sleep...
2024-07-13 07:55:17,262 INFO No evasive samples, sleep...
2024-07-13 07:55:22,768 INFO No evasive samples, sleep...
2024-07-13 07:55:28,273 INFO No evasive samples, sleep...
2024-07-13 07:55:33,782 INFO No evasive samples, sleep...
2024-07-13 07:55:39,290 INFO No evasive samples, sleep...
2024-07-13 07:55:44,796 INFO No evasive samples, sleep...
2024-07-13 07:55:50,304 INFO No evasive samples, sleep...
2024-07-13 07:55:55,813 INFO No evasive samples, sleep...
2024-07-13 07:56:01,319 INFO No evasive samples, sleep...
2024-07-13 07:56:06,827 INFO No evasive samples, sleep...
2024-07-13 07:56:12,335 INFO No evasive samples, sleep...
2024-07-13 07:56:17,840 INFO No evasive samples, sleep...
2024-07-13 07:56:23,348 INFO No evasive samples, sleep...
2024-07-13 07:56:28,852 INFO No evasive samples, sleep...
2024-07-13 07:56:34,360 INFO No evasive samples, sleep...
